project,agent,session_id,model,turns,context_window,peak_context,peak_util_pct,median_context,p90_context,p99_context,first_context,last_context,compactions
COBOL-chess,Claude Code,fe558a17-0e95-4d84-8c0b-c093b7ae7a17,claude-opus-4-6,84,1000000,128073,12.8,51457,119076,127827,19513,128073,0
COBOL-chess,Codex,019c41c7-d33c-7e03-89a7-1691d6ab564a,gpt-5.2,3696,258400,240665,93.1,131403,197120,235137,15747,105198,8
COBOL-chess,Codex,019d0663-34ad-7a03-8d12-888778029a2a,gpt-5.4,30,258400,126455,48.9,100900,113838,124964,11234,126455,0
COBOL-pygame,Claude Code,681b5a9b-0e02-48e9-b994-b069da1918fc,claude-opus-4-6,73,1000000,110711,11.1,65351,109278,110549,20031,110711,0
COBOL-pygame,Codex,019c41c6-066e-7fc2-80fc-df9d9c702a1e,gpt-5.2,67,258400,44546,17.2,34862,40632,44546,14380,40710,0
SATCobol-cc,Claude Code,9f10dfb5-e448-463b-bffe-21fa2006c9ae,claude-opus-4-6,645,1000000,544028,54.4,285131,455300,517176,23649,426705,0
SATCobol-codex,Codex,019d9114-7f7f-7a23-a04c-5c6cf0b9c61c,gpt-5.4,439,258400,203859,78.9,107556,167325,200788,14764,150751,2
chess-cobol-cc,Claude Code,9d9bb74e-18ea-4bb9-844c-b4e175998988,claude-opus-4-6,1811,1000000,167327,16.7,101374,153822,165367,15115,165989,5
cobol-compiler-cc,Claude Code,18eb3ca2-89a4-40b1-972e-76eb5b635a15,?,0,0,0,,0,0,0,0,0,0
cobol-compiler-cc,Claude Code,625f1b9f-c4c4-41ca-ad54-354184c6cf34,claude-opus-4-6,6364,1000000,978117,97.8,442105,872672,967071,15555,232011,3
cobol-compiler-cc,Claude Code,de76ffeb-b934-4945-92f5-22a43c5b8641,claude-opus-4-6,17,1000000,21695,2.2,20592,21218,21218,16166,21695,0
cobol-compiler-codex,Codex,019d3a4c-70cd-7850-9833-b9baef393d93,gpt-5.4,3451,258400,244646,94.7,147579,206581,238036,14270,201722,30
cobol-compiler-codex,Codex,019d534d-823d-7d51-98f8-8fdbbfa5872a,gpt-5.4,75,258400,208546,80.7,138594,199726,207648,14320,208546,0
cobol-compiler-codex,Codex,019d5394-145f-7303-a765-98fe5e732d34,gpt-5.4,26,258400,120009,46.4,72569,102480,114131,14332,120009,0
cobol-compiler-codex,Codex,019d539e-65b7-7be2-8db9-8a3a0a4cb74b,gpt-5.4,61,258400,121999,47.2,99877,117865,121462,14301,121999,0
cobol-compress-cobolcc,Claude Code,b14b9a72-9b61-4bb4-bce2-8d570b0a31c6,claude-opus-4-6,230,1000000,264411,26.4,174390,249901,262047,26570,264411,0
cobol-compress-codex,Claude Code,0755d133-f3e9-40ba-9d22-5e892cd14d74,claude-opus-4-6,53,1000000,132079,13.2,62285,109672,125469,20035,132079,0
cobol-compress-codex,Codex,019ce3b2-4167-7af2-b5eb-a080d8e1980c,gpt-5.4,191,258400,202194,78.2,85071,146340,156435,13538,31478,2
cobol-compress-codex,Codex,019d95b9-e157-77b2-90b0-8d7c5246faae,gpt-5.4,11,258400,70714,27.4,29167,69882,69882,14708,70714,0
cobol-doom-cc,Claude Code,01bcb47f-690a-48e0-b136-772737fe1210,claude-opus-4-7,333,200000,634006,317.0,463538,618017,632128,23752,634006,0
cobol-doom-codex,Codex,019d9c4b-74ae-72b1-b670-5b9b4014b3cd,gpt-5.4,507,258400,198411,76.8,83575,155627,193044,14855,99442,4
cobol-jb,Claude Code,3fa13850-2149-4f81-ac43-899fba3d4ef5,claude-opus-4-6,44,1000000,39042,3.9,33419,36501,38892,16721,39042,0
cobol-jb,Claude Code,434a5a96-69b6-43bb-b0dc-dbccafc2ee29,claude-opus-4-6,126,1000000,72808,7.3,47748,70425,72636,16379,72808,0
cobol-tictactoe,Claude Code,b0823094-1fac-4e60-be5c-dbb39d6289f6,claude-opus-4-6,109,1000000,123259,12.3,59097,100619,122676,18440,43325,1
cobol-tictactoe,Claude Code,f44c590a-7e53-4bbd-8c28-04f5b86c98fa,claude-opus-4-6,124,1000000,140410,14.0,62314,118011,139305,15119,48651,1
game15-cobol-codex,Codex,019d95b1-8660-75c2-8a6b-44dfbafc0a19,gpt-5.4,115,258400,187942,72.7,85588,160850,166423,14792,39417,1
