project,agent,n_sessions,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,reasoning_tokens,total_tokens,cache_hit_rate,tool_calls,user_prompts,cost_usd,loc_cobol,n_backlog
chess-cobol-cc,Claude Code,1,1937,591930,166713533,11943652,0,179251052,1.0,1156,47,518.44,2920,51
chess-cobol-cc,TOTAL,1,1937,591930,166713533,11943652,0,179251052,1.0,1156,47,518.44,2920,51
COBOL-chess,Codex,2,236150053,1146954,232432640,0,897503,237297007,0.496,1935,25,45.17,3359,184
COBOL-chess,TOTAL,2,236150053,1146954,232432640,0,897503,237297007,0.496,1935,25,45.17,3359,184
cobol-compiler-cc,Claude Code,2,7243,1567526,2933801019,35551366,0,2970927154,1.0,3740,100,5184.96,15912,32
cobol-compiler-cc,TOTAL,2,7243,1567526,2933801019,35551366,0,2970927154,1.0,3740,100,5184.96,15912,32
cobol-compiler-codex,Codex,4,499374995,2350772,479668736,0,1187284,501725767,0.49,5370,96,108.1,11680,61
cobol-compiler-codex,TOTAL,4,499374995,2350772,479668736,0,1187284,501725767,0.49,5370,96,108.1,11680,61
cobol-compress-codex,Codex,2,17091122,145816,16413312,0,73872,17236938,0.49,263,9,4.36,1812,18
cobol-compress-codex,TOTAL,2,17091122,145816,16413312,0,73872,17236938,0.49,263,9,4.36,1812,18
cobol-compress-cobolcc,Claude Code,1,486,550583,37422175,1708980,0,39682224,1.0,136,7,129.48,1819,11
cobol-compress-cobolcc,TOTAL,1,486,550583,37422175,1708980,0,39682224,1.0,136,7,129.48,1819,11
cobol-doom-cc,Claude Code,1,628,1684363,130194776,2425304,0,134305071,1.0,152,20,367.1,1616,13
cobol-doom-cc,TOTAL,1,628,1684363,130194776,2425304,0,134305071,1.0,152,20,367.1,1616,13
cobol-doom-codex,Codex,1,44542491,357679,42641792,0,191316,44900170,0.489,631,31,11.28,1906,0
cobol-doom-codex,TOTAL,1,44542491,357679,42641792,0,191316,44900170,0.489,631,31,11.28,1906,0
cobol-jb-cc,Claude Code,1,1171,222078,19457587,1113176,0,20794012,1.0,136,29,13.35,535,0
cobol-jb-cc,TOTAL,1,1171,222078,19457587,1113176,0,20794012,1.0,136,29,13.35,535,0
cobol-jb-codex,Codex,2,10701852,94626,10200576,0,49754,10796478,0.488,199,19,2.85,572,0
cobol-jb-codex,TOTAL,2,10701852,94626,10200576,0,49754,10796478,0.488,199,19,2.85,572,0
COBOL-pygame,Codex,1,1102142,47872,1025920,0,34000,1150014,0.482,31,3,0.7,398,11
COBOL-pygame,TOTAL,1,1102142,47872,1025920,0,34000,1150014,0.482,31,3,0.7,398,11
cobol-pygame-cc,Claude Code,1,345,489521,25086132,837119,0,26413117,1.0,153,17,90.04,764,0
cobol-pygame-cc,TOTAL,1,345,489521,25086132,837119,0,26413117,1.0,153,17,90.04,764,0
SATCobol-codex,Codex,1,43570745,290821,41474048,0,146500,43861566,0.488,508,29,10.71,1706,63
SATCobol-codex,TOTAL,1,43570745,290821,41474048,0,146500,43861566,0.488,508,29,10.71,1706,63
SATCobol-cc,Claude Code,1,977,984752,168569731,7843062,0,177398522,1.0,360,31,473.78,1347,87
SATCobol-cc,TOTAL,1,977,984752,168569731,7843062,0,177398522,1.0,360,31,473.78,1347,87
cobol-tictactoe,Claude Code,1,188,318409,7877782,911207,0,9107586,1.0,67,14,52.79,1537,31
cobol-tictactoe,TOTAL,1,188,318409,7877782,911207,0,9107586,1.0,67,14,52.79,1537,31
game15-cobol-codex,Codex,1,8899716,113459,8434688,0,68774,9013175,0.487,173,11,2.77,2264,35
game15-cobol-codex,TOTAL,1,8899716,113459,8434688,0,68774,9013175,0.487,173,11,2.77,2264,35
